Index_Num,Job_Title,Date_Posted,Company_Name,Lowest_Annum,Highest_Annum,Inc_Benefits,Job_Location,Contract_Type,Work_Home,description
1,Data Lead,29/11/2022,Reed Secure,"£162,500","£169,000",Yes,"Kilburn, London","Temporary, full-time",No,"Reed Secure are working with a Major Law Enforcement organisation, they have a requirement for an experience CTC Cleared Data Lead to join them for 12 months initially based at their offices in Kilburn offering a hybrid working arrangement. This role has...                                        Go to similar:                                                    Manager jobs in London"
2,Data Analyst,06/12/2022,Match Digital,"£35,000","£40,000",Yes,London,"Permanent, full-time",No,"Data Analyst 35,000 - 40,000 10% bonus benefits London (1 day per week in the office) Our client Our client is a global strategic technology and payments partner. They deliver seamless personalised shopping experiences to over 29m international shoppers...                                        Go to similar:                                                    Analyst jobs in London"
3,Data Engineer,22/11/2022,Proactive Appointments,"£60,000","£80,000",Yes,London,"Permanent, full-time",Yes,Data Engineer  Permanent - Hybrid working - 60k- 80k Benefits Our global client with offices across the UK are looking to bring a Data engineer into the team on a permanent basis. The right candidate will help the company embed an agile product delivery...                                        Go to similar:                                                    Engineer jobs in London
4,Data Analyst,05/12/2022,BJSS,Competitive,Competitive,No,London,"Permanent, full-time",No,About Us We're an innovative tech consultancy - a team of problem solvers. Since 1993 we've been finding better ways to solve complex technology problems for some of the world's leading organisations and delivered solutions that millions of people use...                                        Go to similar:                                                    Analyst jobs in London
5,Data Engineer,11/12/2022,Harnham,"£182,000","£182,000",No,London,"Contract, full-time",Yes,"Data Engineer Fully Remote 6-Month Contract Up to 700 per day Inside IR35 The Company A fantastic opportunity to join a multi-national healthcare company in a recently, set-up and growing team. The company has a variety of products and strands of the business...                                        Go to similar:                                                    Engineer jobs in London"
6,Data Engineer,29/11/2022,eFinancialCareers,Competitive,Competitive,No,London,"Permanent, full-time",No,Do you see yourself performing in a rapidly growing data transformation consultancy; working with some of the largest financial institutions in the world with a genuine opportunity for personal and career growth? Apply here to be part of the Data Centre...                                        Go to similar:                                                    Engineer jobs in London
7,Data Modeller,27/11/2022,Understanding Recruitment,"£55,000","£60,000",Yes,London,"Permanent, full-time",No,Data Modeller A brand new and exciting opportunity has recently arisen for an Data Modeller with an extensive knowledge in modernising data architecture platforms and creating physical data models to join of the UK's largest higher education organisation...                                        Go to similar:                                                    Modeller jobs in London
8,Data Architect,08/11/2022,Boston Hale,"£70,000","£80,000",No,London,"Permanent, full-time",No,"Data Architect My client, a leading Data Centre company, are looking for a talented and technical Data Architect to support their ongoing programme of work to consolidate a broad data set across an array of data sources, build ETL pipelines, and create...                                        Go to similar:                                                    Architect jobs in London"
9,Data Engineer,22/11/2022,The People Network,"£80,000","£100,000",No,London,"Permanent, full-time",No,"Senior Data Engineer Are you passionate Senior Data Engineer looking to work for one of the UK’s most innovative software houses? They are utilising cutting edge cloud technology to deliver data storage, processing and analytics services. The Senior Data...                                        Go to similar:                                                    Engineer jobs in London"
10,Data Architect,05/12/2022,Ashdown Group,"£70,000","£85,000",No,London,"Permanent, full-time",Yes,"Data Architect - Global Insurance Company Up to 85,000 plus 20% bonus, 25 days holiday and 10% pension. Remote/Work from home with the expectation you can visit either the London or Birmingham office 2-3 times a month.  A leading global insurer is looking...                                        Go to similar:                                                    Architect jobs in London"
